date,time,signal_id,symbol,direction,entry_low,entry_high,sl,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,description
2026-04-29,06:58,2123,LINKUSDT,LONG,9.15,9.25,8.50,9.60,10.00,10.50,11.00,11.75,12.50,13.25,14.00,Ascending trendline confluent with a key horizontal support at entry.
2026-05-01,19:29,2124,HYPEUSDT,LONG,39.80,40.00,36.00,42.00,44.00,46.50,49.00,51.50,54.00,57.00,60.00,4H FVG confluent with ascending trendline support and a key horizontal level at entry.
2026-05-02,07:04,2125,NEARUSDT,LONG,1.275,1.285,1.165,1.345,1.400,1.475,1.550,1.625,1.725,1.850,2.000,4H FVG confluent with ascending trendline support and a key horizontal level at entry.
2026-05-04,15:18,2126,FETUSDT,LONG,0.199,0.200,0.180,0.210,0.220,0.235,0.250,0.265,0.280,0.295,0.315,4H FVG confluent with descending trendline support and a key horizontal level at entry.
2026-05-04,17:17,2127,ATOMUSDT,LONG,1.840,1.850,1.650,1.950,2.050,2.150,2.300,2.450,2.600,2.800,3.000,Ascending trendline confluent with a key horizontal support flip at entry.
2026-05-07,21:59,2128,AEROUSDT,LONG,0.438,0.440,0.400,0.460,0.480,0.505,0.530,0.560,0.600,0.650,0.700,4H FVG confluent with ascending trendline support at entry.
2026-05-08,07:38,2129,SUIUSDT,LONG,0.955,0.960,0.875,1.000,1.040,1.090,1.150,1.210,1.290,1.390,1.500,6H FVG confluent with ascending trendline and horizontal support at entry.
2026-05-09,17:32,2130,AAVEUSDT,LONG,93.80,94.00,85.00,98.00,102.00,107.00,112.00,118.00,125.00,132.00,140.00,4H FVG confluent with ascending trendline and a key resistance flip at entry.
2026-05-09,17:42,2131,IMXUSDT,LONG,0.1805,0.1825,0.1650,0.1900,0.1975,0.2075,0.2175,0.2325,0.2500,0.2750,0.3000,8H FVG confluent with ascending trendline and a key resistance flip at entry.
2026-05-12,04:44,2132,NIGHTUSDT,LONG,0.0348,0.0350,0.0315,0.0365,0.0380,0.0400,0.0425,0.0450,0.0480,0.0510,0.0550,8H FVG confluent with ascending trendline at entry.
2026-05-12,06:37,2133,FILUSDT,LONG,1.040,1.050,0.950,1.100,1.150,1.225,1.300,1.400,1.500,1.625,1.750,8H FVG confluent with ascending trendline support at entry.
2026-05-14,05:45,2134,SKYUSDT,LONG,0.0716,0.0720,0.0650,0.0750,0.0780,0.0830,0.0880,0.0950,0.1020,0.1100,0.1200,"Price tapping into a strong 8H support cluster at entry, a level that previously launched the entire rally."
2026-05-15,16:05,2135,ENAUSDT,LONG,0.1140,0.1150,0.1050,0.1200,0.1250,0.1325,0.1400,0.1475,0.1550,0.1650,0.1750,Ascending trendline confluent with a stacked horizontal support cluster at entry.
2026-05-15,22:48,2136,ICPUSDT,LONG,2.480,2.500,2.250,2.625,2.750,2.900,3.050,3.250,3.450,3.700,4.000,"8H FVG from a prior explosive impulse acting as the entry zone, confluent with a key horizontal support level."
2026-05-18,02:34,2137,ARBUSDT,LONG,0.1140,0.1150,0.1050,0.1200,0.1250,0.1325,0.1400,0.1500,0.1625,0.1750,,4H horizontal support confluent with a nearby FVG acting as a demand cluster at entry.
2026-05-19,06:51,2138,INJUSDT,LONG,4.96,5.00,4.50,5.25,5.50,5.75,6.25,6.75,7.25,8.00,,4H FVG confluent with ascending trendline support at entry.
2026-05-19,15:21,2139,ONDOUSDT,LONG,0.3580,0.3600,0.3250,0.3750,0.3900,0.4100,0.4300,0.4600,0.5000,0.5500,0.6000,4H FVG confluent with a well-established ascending trendline and horizontal support at entry.
2026-05-19,22:19,2140,AEROUSDT,LONG,0.398,0.400,0.360,0.420,0.440,0.465,0.490,0.520,0.560,0.600,0.650,4H FVG confluent with a long-established ascending trendline at entry.
2026-05-22,05:54,2141,ALGOUSDT,LONG,0.1090,0.1100,0.1000,0.1150,0.1200,0.1275,0.1350,0.1450,0.1550,0.1650,0.1750,2H FVG confluent with ascending trendline support at entry.
2026-05-24,07:40,2142,XLMUSDT,LONG,0.1430,0.1450,0.1315,0.1515,0.1580,0.1650,0.1750,0.1850,0.1950,0.2100,0.2250,4H FVG confluent with ascending trendline support at entry.
2026-05-25,06:44,2143,POLUSDT,LONG,0.0894,0.0900,0.0810,0.0945,0.0990,0.1050,0.1125,0.1200,0.1300,0.1400,0.1500,4H FVG sitting directly on a key horizontal support level at entry.
2026-05-27,06:23,2144,HYPEUSDT,LONG,56.80,57.00,52.00,59.50,62.00,65.00,68.00,72.00,77.00,83.00,90.00,4H resistance flip at entry with a fresh untouched FVG acting as confluence directly below.
2026-05-28,22:21,2145,WLDUSDT,LONG,0.2805,0.2825,0.2550,0.2950,0.3075,0.3250,0.3450,0.3650,0.3900,0.4200,0.4500,4H FVG confluent with ascending trendline support at entry.
2026-05-31,18:40,2146,ARBUSDT,LONG,0.0990,0.1000,0.0900,0.1050,0.1100,0.1175,0.1250,0.1325,0.1400,0.1500,,8H FVG confluent with a key psychological support level at entry.
2026-06-01,18:22,2147,RENDERUSDT,LONG,1.880,1.900,1.725,1.980,2.160,2.250,2.350,2.500,2.650,2.800,3.000,4H FVG confluent with ascending trendline support at entry.
2026-06-02,16:11,2148,TRXUSDT,LONG,0.331,0.335,0.300,0.350,0.365,0.385,0.405,0.430,0.460,0.495,0.535,4H FVG confluent with a multi-year ascending trendline at entry.
2026-06-02,17:41,2149,SKYUSDT,LONG,0.0660,0.0665,0.0600,0.0700,0.0735,0.0775,0.0815,0.0860,0.0905,0.0950,0.1000,8H FVG confluent with a long-term ascending trendline and key horizontal support at entry.
2026-06-02,21:37,2150,XLMUSDT,LONG,0.198,0.200,0.180,0.210,0.220,0.235,0.250,0.270,0.295,0.320,0.350,Price pulling back into a clean Daily FVG at entry with key horizontal support reinforcing the zone.
2026-06-05,07:44,2151,TAOUSDT,LONG,198.0,200.0,180.0,210.0,220.0,235.0,250.0,270.0,295.0,320.0,,Daily FVG confluent with ascending trendline and psychological support at entry.
2026-06-06,18:31,2152,ASTERUSDT,LONG,0.590,0.600,0.540,0.630,0.660,0.700,0.740,0.790,0.850,0.925,1.000,8H FVG acting as the entry zone with key psychological support adding confluence.
2026-06-07,19:48,2153,DASHUSDT,LONG,34.80,35.00,31.50,36.75,38.50,40.50,42.50,45.00,48.00,51.00,55.00,8H FVG already confirmed with a strong impulsive reaction.
2026-06-08,17:13,2154,KITEUSDT,LONG,0.1855,0.1875,0.1700,0.1950,0.2025,0.2125,0.2225,0.2375,0.2550,0.2750,0.3000,8H FVG confluent with ascending trendline and stacked horizontal support at entry.
2026-06-09,06:32,2155,SOLUSDT,LONG,64.50,65.00,59.00,68.00,71.00,75.00,79.00,84.00,89.00,94.00,100.00,4H FVG confluent with double ascending trendline support at entry.
2026-06-09,15:34,2156,XRPUSDT,LONG,1.1450,1.1500,1.0500,1.2000,1.2500,1.3250,1.4000,1.4750,1.5500,1.6500,1.7500,4H FVG confluent with ascending trendline support at entry.
2026-06-11,16:34,2157,UNIUSDT,LONG,2.455,2.475,2.250,2.575,2.675,2.800,2.950,3.100,3.300,3.600,4.000,4H FVG confluent with double ascending trendline support at entry.
2026-06-12,04:41,2158,AAVEUSDT,LONG,62.00,62.50,57.50,65.00,67.50,71.00,75.00,80.00,86.00,93.00,100.00,2H FVG confluent with double ascending trendline support at entry.
2026-06-14,18:30,2159,ICPUSDT,LONG,2.380,2.400,2.150,2.525,2.650,2.800,2.950,3.150,3.400,3.700,4.000,8H FVG confluent with ascending trendline support at entry.
2026-06-16,21:44,2160,ADAUSDT,LONG,0.1705,0.1725,0.1575,0.1800,0.1875,0.1975,0.2075,0.2225,0.2375,0.2550,0.2750,2H FVG confluent with double ascending trendline support at entry
2026-06-16,22:05,2161,AVAXUSDT,LONG,6.700,6.750,6.150,7.050,7.350,7.750,8.250,8.750,9.250,9.850,10.500,4H FVG confluent with ascending trendline support at entry.
2026-06-19,06:20,2162,ZECUSDT,LONG,436.00,440.00,400.00,460.00,480.00,505.00,530.00,565.00,600.00,645.00,700.00,4H FVG confluent with double ascending trendline and psychological support at entry.
2026-06-20,06:19,2163,XLMUSDT,LONG,0.1980,0.2000,0.1800,0.2100,0.2200,0.2350,0.2500,0.2650,0.2800,0.3000,,4H FVG confluent with double ascending trendline and psychological support at entry.
2026-06-21,05:39,2164,RENDERUSDT,LONG,1.640,1.650,1.500,1.725,1.800,1.900,2.000,2.125,2.250,2.375,2.500,2H FVG confluent with double ascending trendline support at entry.
2026-06-21,19:04,2165,APTUSDT,LONG,0.644,0.650,0.600,0.675,0.700,0.735,0.770,0.810,0.860,0.925,1.000,4H FVG confluent with double ascending trendline support at entry.
2026-06-23,22:10,2166,AEROUSDT,LONG,0.4720,0.4750,0.4250,0.5000,0.5250,0.5600,0.5950,0.6300,0.6700,0.7100,0.7500,8H FVG confluent with ascending trendline and stacked horizontal support at entry.
2026-06-26,06:25,2167,INJUSDT,LONG,4.150,4.200,3.800,4.400,4.600,4.850,5.100,5.400,5.700,6.100,6.500,8H FVG confluent with ascending trendline and psychological support at entry.
2026-06-26,21:34,2168,ICPUSDT,LONG,2.175,2.185,1.985,2.285,2.385,2.500,2.625,2.750,2.950,3.200,3.500,2H FVG confluent with ascending trendline and stacked horizontal support at entry.
2026-06-27,09:21,2169,FETUSDT,LONG,0.1730,0.1750,0.1580,0.1830,0.1910,0.2000,0.2100,0.2250,0.2450,0.2700,0.3000,8H FVG confluent with double ascending trendline support at entry.
2026-06-30,04:20,2170,SKYUSDT,LONG,0.05150,0.05200,0.04700,0.05450,0.05700,0.06000,0.06400,0.06800,0.07200,0.07600,0.08000,8H FVG confluent with key horizontal support at entry.
2026-07-01,16:15,2171,WLDUSDT,LONG,0.3780,0.3800,0.3400,0.4000,0.4200,0.4500,0.4800,0.5200,0.5700,0.6300,0.7000,8H FVG confluent with ascending trendline and horizontal support at entry.
2026-07-03,07:45,2172,XLMUSDT,LONG,0.1880,0.1900,0.1700,0.2000,0.2100,0.2250,0.2400,0.2550,0.2700,0.2850,0.3000,8H FVG confluent with double ascending trendline support at entry.
